No,reviewId,Ulasan,Rating,Tanggal,Label Tipe,Aspek/Modul,Alasan_Singkat (opsional),Ambigu? (Y/N),Untuk_Sampel_Kappa? (Y/N),Nama Aplikasi
10288,ba3483b7-4913-49e8-9514-bf9443eb1042,Baguss!,5,2026-04-23 20:11:08,Other,Other,,,N,Mobile JKN
1936,eaf94be9-f30c-4d2b-8cb8-8f9cce0a4c4c,setelah diperbarui malah gak jelas. yang ada malah tidak bisa masuk akun jkn yang terdaftar,5,2026-07-09 16:16:08,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
11115,ff72a926-df8c-407a-974f-4b4d6b79434e,"apknya sering error, kamera susah verifikasi, mohon diperbaiki",2,2026-04-15 21:13:51,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
8582,e6d5122e-3471-4a81-9ab2-1cde3e9eb66b,"pelayanan bagus, maju indonesia ku",5,2026-05-07 17:18:07,Other,Other,,,N,Mobile JKN
13840,216cc2c2-5749-492f-a7de-5bce25aba2a9,"ribet mau login, masukin captcha nya aja sampe berulang kali itu pun juga tetep ngak bisa, alasan sinyal kurang bagus ""periksa koneksi jaringan"" restart, flight mode tetep sama...",1,2026-03-13 05:43:20,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
9264,c8a1777c-b79c-4e0c-aca6-2cea10a4efad,"oke semuanya,sangat membantu terima kasih",5,2026-05-03 00:04:46,Other,Other,,,N,Mobile JKN
11371,22cbde1c-ab78-4f65-a534-793f513ea79d,"buruk banget nik, pasword, captcha udah bener semua tetep ngga bisa masuk kata nik salahlah, pw salahlah aplikasi sampahhh, tolong diperbaiki dong",1,2026-04-13 19:47:41,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
11824,e87cf366-9f77-4d81-b8ae-038c50a1a29f,"kok tiba-tiba hang, aplikasi tidak bisa di- apa-apa kan. Payah deh.",1,2026-04-09 08:41:23,Bug Report,Peforma Umum,,,Y,Mobile JKN
1924,4b4e08d1-5f12-4e11-84ef-7f562efc6ce7,"Terlalu sering update, terus kalo bisa meskipun update akun tetap masuk, soalnya ribat kalo harus masukin akun lagi, mana pasword nya suka lupa ga pernah sinkron, harusnya akunnya tetqp masuk bukan malah di log out sendir dari servernya",2,2026-07-09 18:23:08,Feature Request,Login/OTP/Verifikasi,,,Y,Mobile JKN
11987,2fa748d1-b25a-418f-b54a-0494ce9b7ca8,"ti lohor sampai asar, capcay we dan nik, minta terus maunya app ini di pakai tiap hari, mau daptar onlen jd oflen, sakiiiiit ni",1,2026-04-07 17:10:52,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
2272,a1232877-4191-4cc6-9fc4-2ff210ce1aa5,"APK gak jelas, udah berkali kali nungguin kode otp ga keluar keluar lain kali pake WA aja gatau aja ada keperluan yang lain",1,2026-07-06 16:37:53,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
13717,6033791d-b8e6-4a38-b033-10d2d0e747b0,mudah & lancar amin,5,2026-03-14 23:40:47,Other,Other,,,N,Mobile JKN
3012,4218b9b5-07f3-4be6-b969-7dfc0235c3e5,"mau ganti faskes susah, tiap verifikasi wajah selalu gagal pake pin juga gagal terus.",1,2026-06-30 18:46:40,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
5577,9f935731-e9bc-4ed1-99b6-09a7d79755d2,"Sulit untuk melakukan pendaftaran, kode verifikasi tidak dikirim, padahal sudah berkali-kali di ulang tetap saja tidak ada kode verifikasinya. Jaringan saya 5G",1,2026-06-03 14:35:19,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
48,9c907b43-11c1-405b-9e0d-68901793f62e,sangat baik,5,2026-07-30 08:42:14,Other,Other,,,N,Mobile JKN
7542,4fd30649-bfab-4459-b130-1117a0c06707,apk dengan pelayanan buruk,1,2026-05-15 10:51:41,Other,Other,,,N,Mobile JKN
64,34b7157c-05e6-4a59-b680-471d283cfef9,kode otp tidak di kirim padahal nomor sudah benar dan aktif,1,2026-07-30 01:17:36,Bug Report,Login/OTP/Verifikasi,,,Y,Mobile JKN
13922,11fa0677-9f3a-42fc-a675-fac762d29d2e,"mantap,semoga bermanfaat",5,2026-03-12 07:30:24,Other,Other,,,Y,Mobile JKN
5024,f8792752-ef39-47ca-9587-c93c353d712d,goooddd,5,2026-06-09 11:00:13,Other,Other,,,N,Mobile JKN
8028,777fad4d-0898-43d3-b55c-efead8b5d6c1,aplikasi ini sangat mudah sekali juga cepat bila ingin muatasi,5,2026-05-11 19:22:22,Other,Layanan Inti,,,Y,Mobile JKN
8247,478abf71-32a5-4571-b624-c40287a60c03,Bagus .tapi kenapa harus di perbarui terus,5,2026-05-10 02:23:28,Other,Peforma Umum,,,N,Mobile JKN
5628,ca4e1014-7f8b-4072-a463-78e2866617d6,Mobile JKN Aplikasi Terbaik 🫰🏻,5,2026-06-03 06:20:28,Other,Other,,,N,Mobile JKN
13626,075f7d8d-52f2-4b24-89d9-226652851431,fitur untuk verifikasi untuk wattsapp ya tidak ada susah verifikasi wajah,1,2026-03-16 11:59:53,Feature Request,Login/OTP/Verifikasi,,,N,Mobile JKN
12600,27144852-1b56-421b-96e8-bb15e392b3c6,sangat membantu dalam informasi dan pelayanan,5,2026-04-01 13:46:27,Other,Other,,,N,Mobile JKN
3112,de17aec4-4cde-4cde-8ad4-17fc08efe0dd,"kenapa jadi kek gini sihhhh, kok gak mau masuk ke akunku?!!! tolong donggg udah ku coba tetep gak berhasil",1,2026-06-30 07:40:48,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
6404,508af6c7-6648-40c6-86fc-dddab88bbc73,mantulll,5,2026-05-25 13:09:59,Other,Other,,,N,Mobile JKN
1394,eefd85d2-a654-4e8e-beeb-00a90cee2c26,BPJS KESEHATAN UNGGUL,5,2026-07-16 11:50:08,Other,Other,,,N,Mobile JKN
13794,f0e03bc1-8618-4929-a358-ffe8d90bd297,kata teman ini bagus 👍,5,2026-03-13 19:45:37,Other,Other,,,N,Mobile JKN
5741,2af01a1a-b6dd-4c5b-af55-fc9dacbad17e,"aplikasi kuntul, aplikasi mengusahakan masyarakat",1,2026-06-02 10:15:02,Other,Other,,,N,Mobile JKN
2677,baaa8d88-f055-40ec-ac36-b9b99bc7189d,tidak bisa di gunakan!!!,1,2026-07-02 16:26:28,Bug Report,Peforma Umum,,,N,Mobile JKN
6265,c87c825b-e77c-4290-8b42-b224b802cedd,kacau tidak bisa login,1,2026-05-27 10:20:04,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
13978,d7294b7f-e275-483b-823c-628311d12fc3,mudah ga ribet,5,2026-03-11 10:39:23,Other,Other,,,N,Mobile JKN
12845,32bee636-3661-4e2d-b078-365f0e831f1a,"istimewah, simple, cepat, no ribet. Terima kadih mobile jkn🙏🏿😊.",5,2026-03-31 09:27:54,Other,Other,,,N,Mobile JKN
7697,66c01645-f648-45a2-8f6f-fa910d719b08,susah login susah daftar,1,2026-05-13 22:12:36,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
6848,65590a5a-640d-4101-bf93-eaa0bd81cce7,Pelayanan dan respon service excellence,5,2026-05-20 17:39:21,Other,Other,,,N,Mobile JKN
9633,77f7856c-bf58-412e-9001-997e25f905ab,"Gabisa bisa verifikasi otp , cek dong aplikasi nya berjalan lancar atau engga. padahal dibaca baca banyak yg kasih ulasan mengenai kode otp tapi gaada tindakan, ini niatnya mempermudah atau mempersulit? aplikasi nya diadakan tujuan nya buat apa? tolong dong ditinjau lagi",2,2026-04-29 20:19:50,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
3015,f16a2c3c-ab73-469d-8e33-a9180c7becba,"singkat,cepat,mudah dipahami",5,2026-06-30 18:35:08,Other,Other,,,N,Mobile JKN
28,8afb5bde-878a-446d-bcf4-15be556d460e,semakin gampang,5,2026-07-30 11:16:55,Other,Other,,,N,Mobile JKN
3026,71b06fae-89de-4ec2-9e96-0e680df9a378,"gak bisa masuk, padahal udah login",1,2026-06-30 17:42:24,Bug Report,Login/OTP/Verifikasi,,,Y,Mobile JKN
12049,84aff588-85a4-42e0-b69f-5ade35409c14,"kenapa ya saat mau login ke akun bpjs di suruh daftar autodebit tpi setelah sukses di daftar ngak bisa masuk, layarnya jdi hitam aja",4,2026-04-07 08:33:45,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
12320,6d4cd4ab-3ec3-495a-b846-f16bccde431c,"mau daftar kode Verifikasi nya ga di kirim kirim, gmn ini,bukannya mempermudah malah mempersulit, udah 2hari, nunggu terus 300 detik untuk minta kirim ulang kode verifikasi tapi tetep ga muncul",1,2026-04-04 06:57:07,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
2178,ac9ebe80-8e0b-4106-8d75-dfaebe9f3236,aplikasi ini sangat bagus dan memuaskan,5,2026-07-07 13:45:37,Other,Other,,,N,Mobile JKN
8643,5183aacc-8590-4448-b748-c894d92040ba,Alhamdulillah.. mudah ubah faskes... 👍👍,5,2026-05-07 09:28:58,Other,Layanan Inti,,,N,Mobile JKN
3882,9596d481-690e-45ed-b7a2-2df9a84ad12d,"Data di aplikasi JKN, faskes tingkat 1 adalah klinik B. Saat klik ambil antrean online malah masuk ke klinik A. Kok bisa beda klinik ya. Terima kasih.",4,2026-06-22 18:24:32,Bug Report,Layanan Inti,,,N,Mobile JKN
9377,9707ef14-32b1-4304-ba6a-a121f2741482,"aplikasi ngawur, tidak bisa login dan harus daftar autodebit. padahal bank dan layanan lainnya masih terbatas. kalau tdk punya bank nya apa harus bikin akun bank lain hanya untuk bayar BPJS. perbaiki sistem yg mengharuskan autodebit hanya untuk login aplikasi kalau belum bisa ALL BANK",1,2026-05-01 16:00:39,Feature Request,Login/OTP/Verifikasi,,,N,Mobile JKN
2936,f7d407eb-ff64-4e1f-9681-f3a1fb1e433d,"sekarang susah masuk, angka captcha gk muncul muncuk",1,2026-06-30 23:11:54,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
400,52c82270-16a8-494e-87d5-a5a659c86c53,aplikasi kagajelas banget suka ke logout sendiri giliran di masukin lagi akunnya gak valid muluk keburu mati yg ada nunggu valid mah kalo bisa di perbaikin lagi dah ni aplikasi nyusahin orang kalo mau berobat lama nunggu di apk nya doang buak lama nunggu di rmh sakit 😡,1,2026-07-27 14:04:48,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
10305,dcc955b3-1f62-4ecc-b510-37276af66719,mempermudah dalam segala hal,5,2026-04-23 17:44:00,Other,Other,,,N,Mobile JKN
9189,e9b8d2e3-ff57-4fdc-8c63-219c08524421,mudah di pahami,5,2026-05-03 19:24:59,Other,Other,,,N,Mobile JKN
9354,4ced254a-b8d2-4e9e-b01b-3c6c9e019a2f,sangat membantu masyarakat perihal kesehatan,5,2026-05-01 20:56:30,Other,Other,,,N,Mobile JKN
9635,1f624236-4626-4f0e-8e9b-570b316f0673,"aplikasi jelek ,ladang korup gausah pake aplikasi segala",1,2026-04-29 20:13:21,Other,Other,,,N,Mobile JKN
11794,bda7c5b1-d3ec-4bb4-8605-b3697719b715,sms verifikasi ny knpa gk masuk2 ya? udh dua hari daftar kthan gara2 sms verifikasi gk dpt2,1,2026-04-09 12:44:12,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
2617,e84a2928-f454-4ee5-8f2e-4a48eb91a88b,ternyata sangat mengecewakan. misalkan kita punya 5 anggota keluarga sudah terdaftar aktif BPJS dan masuk dalam daftar peserta. ketika mau daftar antrian online ke Puskesmas atau RS. tidak bisa pindah memilih peserta yg ada didalam daftar seperta tersebut. hasus log out dulu trus daftar manual sendiri memasukan nik sendiri yang mau berobat. sangat mengecewakan,1,2026-07-03 09:28:33,Feature Request,Layanan Inti,,,N,Mobile JKN
10195,7908ecdb-664a-42ba-908a-b9b9cf794bc8,digitalisasi yang complete,5,2026-04-24 17:59:31,Other,Other,,,Y,Mobile JKN
1321,31d40a30-574f-4d64-b71b-09edef49e166,"tidak bisa daftar, gagal terus, 'belum dapat diproses' kalo sakit parah, mau nunggu mati dulu kah baru bisa diproses? Semakin meyulitkan saja, ga bisa berobat.",1,2026-07-17 10:10:31,Bug Report,Login/OTP/Verifikasi,,,Y,Mobile JKN
2478,8314fbc3-d58d-4a3e-b93e-7b632da23bb1,"aps sampah, banyak eror",1,2026-07-04 17:38:03,Bug Report,Peforma Umum,,,N,Mobile JKN
12657,6a3c706c-2acb-4e5b-8af2-24a67fd595f2,ketika daftar antrean sering muncul Eror,3,2026-04-01 08:12:29,Bug Report,Layanan Inti,,,N,Mobile JKN
1922,633e18c7-085c-435c-a3d1-c9927dc558b3,Pelayanan memuaskan,5,2026-07-09 19:13:23,Other,Other,,,N,Mobile JKN
1651,c7384943-ac09-4e53-83aa-93f712dc2b02,jadi membingungkan sekarang,2,2026-07-13 14:37:27,Other,Other,,,N,Mobile JKN
1112,e76c647d-ddc6-4a4e-a982-950f2a5a2001,susah kali mau loding nya,2,2026-07-20 02:08:19,Bug Report,Peforma Umum,,,N,Mobile JKN
3725,e09167c7-1002-4ffe-9371-018bd96e76ca,maaf.. ternyata masukan² tidak dipertimbangkan,1,2026-06-24 11:40:48,Other,Other,,,N,Mobile JKN
10377,af398c9a-9b44-4b24-88ee-abd362c718ab,gabisa dapet kode otp Mulu.,2,2026-04-23 05:07:19,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
8319,3961abd9-139a-4db3-ac76-1c3e4c71b027,"saya agak kecewa dengan aplikasi ini, saya mengambil antrean seminggu sebelumnya supaya dapat nomor antrean, ternyata pada hari H saya mengecek nomor antrean saya hilang, ternyata saya dicek oleh operator dibatalkan oleh system. Terpaksa saya mendaftar lagi untuk minggu depan karena sudah full dokternya hari itu.",1,2026-05-09 10:02:27,Bug Report,Layanan Inti,,,N,Mobile JKN
6780,c8f49aad-5a01-49eb-9cf2-090ce8931cda,sangat membantu dan pelayanan nya juga ramah,5,2026-05-21 09:10:00,Other,Other,,,N,Mobile JKN
13280,3caff0da-f72d-4207-83c9-99ab9846129b,"aplikasi ini kurang bagus, kode OTP tidak terkirim ke nomor HP yang bersangkutan sama sekali. Tolong ditinjau lagi karena banyak yang bermasalah seperti ini.",1,2026-03-25 08:09:11,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
5377,204dfa1a-1a83-4b4c-b553-f7ddc97881f1,aplikasi ini menghemat waktu dan lebih efisien,5,2026-06-05 07:40:58,Other,Other,,,N,Mobile JKN
6884,52dc8f4a-53a3-4ed3-a602-ee65e6801ffe,"intinya aplikasi pemerintah jarang benernya, banyak bug",1,2026-05-20 12:21:55,Bug Report,Peforma Umum,,,N,Mobile JKN
10468,3aed5eb1-49de-4596-a0ec-f218f00f712b,pelayanan top,5,2026-04-22 12:32:44,Other,Other,,,N,Mobile JKN
7111,7d06cbca-4d7c-4c78-acfd-3ff291a0e30d,"aplikasi tidak jelas, mau mendaftar susah sekali mempersulit",1,2026-05-18 20:25:42,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
13298,95952e72-c9a1-4bc7-ab63-5f7109741f6a,"meski UI amburadul, secara Functional masih bisa dimaafkan. hire UI/UX yg lebih baik atau naikan gaji Frontend-nya",4,2026-03-24 21:53:55,Feature Request,Peforma Umum,,,N,Mobile JKN
7029,5f875b0c-839f-4722-b060-c90b00068d0f,"NIH APK GIMANA SIH, aing mau daftar aja susahnya sampe sekarang minta ampun, masukin no hp buat verifikasi aja gak masuk masuk OTP, nih orang yang sakit udah 2 hari mau pemeriksaan aja gak jadi , tolol dahh. Gimana ini woiii , apa mau dibiarin aja orang-irang sakit Ampe sekarat buat nunggu OTP masuk????",1,2026-05-19 10:19:42,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
451,8f124f1b-cf7f-417f-98a9-7a419e679a03,terlalu banyak yg harus di pikirkan masuk akun aja ribet,1,2026-07-27 06:34:00,Feature Request,Login/OTP/Verifikasi,,,N,Mobile JKN
7303,7909baf2-61aa-49d5-adae-bcc4d6415afa,bagua. dan selalu di tingkatkan,5,2026-05-17 17:25:26,Other,Other,,,N,Mobile JKN
178,ac6c2f22-2158-46df-8e9a-9b7ebb4832d8,sangat memudahkan sekali dalam proses perobatan,5,2026-07-29 10:06:25,Other,Layanan Inti,,,N,Mobile JKN
12607,5ea6a7ee-5565-43be-b7b2-4833265753a6,sangat Baik dan sangat membantu sekali dlm hal yg sangat dibutuhkan untuk aplikasi ini,5,2026-04-01 13:33:07,Other,Other,,,N,Mobile JKN
4036,9f2839bd-5d7c-49b9-b916-a16a2a2c0282,"sangat sulit untuk mendaftar, kameranya selalu error",1,2026-06-20 16:13:01,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
1351,ad1db0b4-2383-45ef-912f-c0882193f2b7,"aplikasinya sudah mulai letoy, alasan root lah, setelah dicek hpnya ternyata resmi (tidak diroot). hedeeeh",1,2026-07-16 22:06:13,Bug Report,Peforma Umum,,,N,Mobile JKN
11078,93e410c9-3230-47e0-8a9e-da5c6a510747,masi dipantau,5,2026-04-16 10:47:15,Other,Other,,,N,Mobile JKN
8876,8fb05658-ada6-4fe9-91c9-aa0633485c42,sms untuk registrasi gak masuk-masuk,1,2026-05-05 20:57:05,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
2096,42e8c656-4788-4f59-bcaa-47b7b64f3c23,susah daftarnya ! malah menyusahkan mau berobat jadi Gak jadi !,1,2026-07-08 10:08:39,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
7584,ddfa6b88-b22d-4dea-8046-2e42abb30749,pelayanan memuaskan dokternya baik dan ramah,5,2026-05-14 23:55:36,Other,Other,,,N,Mobile JKN
1607,76794c80-e2e6-479d-994f-683c5ea9dae1,"hay BPJS kesehatan kenapa saya ga boleh sakit ketika malam hari atau pun week end, emang siapa pula yg mau sakit tolong di buat 24 jam lah masa saya mu berobat harus pagi atau siang hari dan ga boleh week end pula,",1,2026-07-14 00:42:35,Other,Other,,,Y,Mobile JKN
8020,a4db3fe6-556f-4bbd-aeec-f9a015b83eab,"kalau ada yang sulit kenapa harus di permudah,,aplikasi pemerintah emang ANEHHHH..NO HP BELUM PERNAH DI GUNAKAN KOK ,KATANYA UDAH TERPAKAI",1,2026-05-11 20:03:17,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
2013,0d677b1a-8f06-444c-a6c3-a8ea79487dc7,"Ribet, mau pindah faskes harus pakai scan mata, Apakah Balita bisa melakukannya. Balita juga tidak bisa pegang gadget. Sudah bayar tiap bulan, masih direpotkan.",1,2026-07-08 21:41:43,Feature Request,Layanan Inti,,,N,Mobile JKN
4717,07855eb6-0716-47ec-ae78-77ad65e8d972,mantap pokonya mah,5,2026-06-12 11:48:19,Other,Other,,,N,Mobile JKN
12276,470710ca-e61b-4547-a527-b94e79749f96,"aplikasi bego,,kenapa sering ke log out sndri giliran mau minta kode otp ga di kirim kirim pdahal sinyal lancar,nomer aktif anehh banget hapus aja dari playstore",1,2026-04-04 19:48:48,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
543,1cdec9eb-1293-41f4-936e-a49703354d53,"mw dftar k rs rujukan ga bsa2, udh mw habis wktu di surat rujukan, gegara buka mobile jkn ga bsa wae login..",1,2026-07-25 15:35:12,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
1548,9c5d4113-7704-44b0-8656-b023ed0f3e38,Aplikasi Sanga membantu,5,2026-07-14 15:08:27,Other,Other,,,N,Mobile JKN
12809,d58d5f3a-d927-4dfe-9cca-246f03c769d5,"Mantap dan cepat, pertahankan pelayanan digitalnya",5,2026-03-31 12:55:59,Other,Other,,,N,Mobile JKN
8010,6092c015-ed76-43b9-a497-23add91d1ce3,"Tolong lahhh, Pacarr sayaa yang cantikk ituu gabisaa loginn... teruss moodnya jadi berantakan gara gara mobile JKN nyaa gangguann, tolong segera diperbaiki.. terimakasihh..",2,2026-05-11 20:27:08,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
5610,1b815cd4-ade4-4b07-ab4b-4eccb8252a37,sangat mempermudah pelayanan,5,2026-06-03 09:35:30,Other,Other,,,N,Mobile JKN
7252,66d74833-f29d-4448-b1a9-f0403b50dec5,terbaik pokonya semuanya jadi mudah dengan mobile JKN,5,2026-05-18 08:11:37,Other,Other,,,N,Mobile JKN
7750,249a810b-3867-477c-8efa-75b1fafa2602,Aplikasi sampah.,1,2026-05-13 13:50:21,Other,Other,,,N,Mobile JKN
8877,8443741e-6252-479a-ab63-f844192bc88d,"apk nya ribet harus masukin mulu akun no kk sm pw, nge screenshot data pribadi (PRIBADI!) aja di blokir akses udh kyk fitur skali liat di wangsap, udh kyk mbanking juga sih kyknya",1,2026-05-05 20:55:58,Feature Request,Login/OTP/Verifikasi,,,N,Mobile JKN
1494,207b702f-8da0-4b10-abf4-21b649279e11,ribet keluar masuk akun terus,2,2026-07-15 10:12:56,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
6078,d5b108cf-3410-49f2-b596-7202fe8b95e6,tiap mau ambil antrian gabisa terus dengan status kuota poli penuh padahal kuota masih ada. harus nyoba puluh puluh kali baru bisa. mempersulit orang mau berobat aja.,1,2026-05-29 15:23:45,Bug Report,Layanan Inti,,,N,Mobile JKN
13511,ea32f0f7-5d34-4aab-8b4e-d68c5c92df18,oke mntap,5,2026-03-19 00:02:55,Other,Other,,,N,Mobile JKN
7449,d3baae7d-a449-4447-b2fc-bbb2528b6378,"mantap,tidak di persulit",5,2026-05-16 02:30:35,Other,Other,,,N,Mobile JKN
1966,87fe80d3-41df-4d45-b3e4-7c89e71452ee,memudahkan peserta,5,2026-07-09 11:22:11,Other,Other,,,Y,Mobile JKN
6211,49065fb8-e229-4b03-a719-6a48bf24782f,"pelayanan baik,",5,2026-05-28 07:39:13,Other,Other,,,N,Mobile JKN
4901,2be974ea-5b12-48af-910a-09a811b92722,tolong dong kode otp nya ga masup,1,2026-06-10 16:54:28,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
7832,1de43594-ffba-4127-8531-8e6e2b8655af,sangat bermanfaat dan menambah wawasan,5,2026-05-13 03:47:58,Other,Other,,,N,Mobile JKN
361,2b26efee-f521-43ae-94c8-eb23b87dd166,"kenapa sekrg JD susah buat aktifkan,hampir 4hari tidk bisa,mana tgl 29 mau control,terkendala di captach nya muter2 terus hampir 3bulan sekali upgrade,Sush lagi buat masuknya,",3,2026-07-27 20:56:06,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
1685,b5f47fb5-aeee-4468-92cb-9b7d8a4fb403,mudah untuk akses,5,2026-07-13 10:19:08,Other,Other,,,N,Mobile JKN
8741,2323dbf3-9042-4a4b-94bb-d58c83f5e699,simple di belakangan,5,2026-05-06 15:21:48,Other,Other,,,N,Mobile JKN
13841,de90ba99-c7a4-41dd-89b8-d75c139b0ec6,"Aplikasi ini masih kurang lengkap, pada menu Info riwayat pelayanan hanya bisa dilihat kepala keluarga, bila mau melihat pasien lain dalam satu KK tidak ada opsi memilih nama peserta. Pada menu skrining tidak bisa diupdate/diedit bila ada kesalahan, karena skrining kadang dibantu petugas puskesmas yang sering tidak tepat jawabannya. Mohon disempurnakan!",3,2026-03-13 05:14:01,Feature Request,Layanan Inti,,,N,Mobile JKN
8950,f3b310a4-2c0d-4dfa-b866-a87636e5a764,"udah 5hari buat daftar nomer minta verifikasi gak pernah di gubres blasss, capek aq",2,2026-05-05 12:17:27,Bug Report,Login/OTP/Verifikasi,,,Y,Mobile JKN
1122,a0511a9b-c42f-4a46-8660-bb32e9480e1f,sangat mudah dimengerti dan membantu.,5,2026-07-19 21:35:07,Other,Other,,,N,Mobile JKN
5675,545fe7af-17a7-41d2-ba92-c274c1b6a07d,"apk cacat. ganti akulah programmernya, yang ada force close saja saat ini android 10",1,2026-06-02 19:09:11,Bug Report,Peforma Umum,,,N,Mobile JKN
11986,57bd623e-9f7a-4412-ae8f-9084a537ae1e,aplikasi ini sangat membantu saya dalam berobat di rumah sakit,5,2026-04-07 17:14:21,Other,Other,,,N,Mobile JKN
6209,e2b7d08d-1144-4553-8710-6c442959fc11,aplikasi paling mempersulit diri,1,2026-05-28 09:21:35,Other,Other,,,N,Mobile JKN
908,4189e85f-4b7f-49b5-8205-4238d54161e6,"knp tambh susah sih ini aplikasi,,sy sdh ada JKN nya tp mo login ssh hrs di perbarui lg,,sy cb perbarui lg gak bisa"",,bikin ssh az orang mau berobat tp ssh ,,kita bayar tiap bulan jg bkn gratis,,bikin jengkel az,,🤦🤦",2,2026-07-21 14:55:53,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
13077,47fcc7ec-33dd-453d-bb1b-f85068d4737a,aplikasi smart,5,2026-03-28 22:37:57,Other,Other,,,N,Mobile JKN
1007,62f5e072-9c89-4d23-ac3a-68f2ef70d149,Terimakasih Jkn karna mempermudah saya memperbaiki paskes pelayanan baik hati,5,2026-07-20 19:11:39,Other,Layanan Inti,,,N,Mobile JKN
3648,d3df7f7c-874a-4d6e-bf61-2a9eb22e21cb,lebih mudah utk mendaftar,4,2026-06-24 19:46:17,Other,Login/OTP/Verifikasi,,,N,Mobile JKN
11661,551d8cd6-6bda-46f7-bb80-4c8e4c2d3885,"tidak bisa mendaftar, aplikasi ini bukan mempermudah rakyat, tapi mempersulit sesulit""nya",1,2026-04-10 19:14:19,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
10515,81d75dc4-42a6-46f3-913b-f02ca42bfcc7,mohon maaf kode OTP gak masuk masuk susah banget bikin kepala pusing,5,2026-04-22 06:50:05,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
9044,23c1f608-8c37-4613-93cd-1af36ea39375,gak bisa login gangguan,1,2026-05-04 17:36:18,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
6093,1dee7030-8926-41e7-af26-31de8032d51a,"gemana sih aplikasi nya. SDH ikuti petunjuk. masukkan nomor Hp untuk minta kode verifikasi malah gak ada SMS yang masuk . sudah dicoba berkali kali tetap kode nya gak masuk"".. aplikasi busuk, burik, dan taik",1,2026-05-29 12:46:50,Bug Report,Login/OTP/Verifikasi,,,Y,Mobile JKN
3323,0e0153d6-56ab-47a4-99ae-709915610515,"sangat,sangat membantu",5,2026-06-28 07:40:34,Other,Other,,,N,Mobile JKN
13330,233e5cd9-fb37-4883-9049-b28514e387dd,pokonya okeylah,5,2026-03-24 13:45:33,Other,Other,,,N,Mobile JKN
4769,74993a21-609a-4677-a2aa-fee83ca9af19,captcha nya gak bisa muncul ini gmna,4,2026-06-11 23:55:35,Bug Report,Login/OTP/Verifikasi,,,N,Mobile JKN
4123,7ffe4217-2c29-4f77-b280-17bf490c0c91,dari kemarin coba daftar ke klinik selalu bad request padahal kuota ada sinyal full berkali kali coba tetep bad request aja,1,2026-06-19 16:09:31,Bug Report,Layanan Inti,,,N,Mobile JKN
5834,5e3aff46-7bfe-4d20-aa7c-96f90fffe550,gabisa screenshot bukti antri nya,2,2026-06-01 09:35:10,Bug Report,Layanan Inti,,,N,Mobile JKN
8780,9833ea05-5054-445b-8014-5d255934327f,"sangat membantu,,, apalagi klw lg Buntu",5,2026-05-06 12:12:48,Other,Other,,,N,Mobile JKN
1489,8c5794e3-805e-46b9-bc6f-7812b80336c5,"gk berfungsi sama sekali apk ini,dg kenyataan sebenarnya di pelayanan rs",1,2026-07-15 10:46:11,Other,Other,,,N,Mobile JKN
